Fecha,Vol. Futuros,PI,MHI,FNI,SI
2021-01-27,0.800004266707637,25.15,75.49,0.55,-4.71
2021-01-28,1.20241929668017,2.94,45.3,1.52,-5.45
2021-01-29,0.8503796942835252,1.35,70.21,1.31,-8.14
2021-01-30,0.7930235766740932,24.4,53.21,0.24,-9.57
2021-01-31,1.2083048523913535,1.15,65.47,0.12,-7.53
2021-02-01,0.0681228348553591,0.72,71.05,0.12,-8.64
2021-02-02,1.5678713133014912,1.13,54.78,0.14,-6.9
2021-02-03,0.4447147009912066,2.55,36.02,0.0,2.95
2021-02-04,0.080645165661051,1.23,53.34,0.61,3.06
2021-02-05,0.3621005766952362,4.1,27.51,1.06,1.9
2021-02-06,0.2227437818736067,3.82,46.93,0.26,1.13
2021-02-07,0.1159314414097698,1.54,55.7,0.0,0.95
2021-02-08,0.4286147098839108,3.21,58.57,0.0,2.56
2021-02-09,0.9309923548359876,6.09,36.3,0.0,-0.34
2021-02-10,1.516111810315513,9.43,56.92,0.85,-5.09
2021-02-11,0.0825423076167643,2.37,42.87,1.38,0.64
2021-02-12,0.0412626372679301,2.16,43.89,0.3,-2.33
2021-02-13,0.2246278817870075,1.79,42.26,0.19,-0.26
2021-02-14,0.6249443265192054,3.11,40.99,0.0,-3.85
2021-02-15,0.8511285777471033,1.03,55.84,0.17,-2.14
2021-02-16,0.9063715126345606,1.77,59.08,18.4,-5.86
2021-02-17,1.079794534678813,1.5,72.49,0.48,-7.46
2021-02-18,1.500225531448775,0.82,69.38,0.06,-14.52
2021-02-19,0.0784006312208645,1.21,61.34,1.04,-6.17
2021-02-20,0.3171663847027518,2.73,42.04,0.27,-15.05
2021-02-21,1.4898220961723396,0.99,40.15,0.74,-16.82
2021-02-22,2.754062644330132,1.49,39.03,0.74,-21.88
2021-02-23,2.5158559636154934,1.28,30.69,0.51,-19.69
2021-02-24,0.8807396381747277,1.64,45.15,0.41,-16.3
2021-02-25,2.5833708795378483,1.69,42.34,0.42,-10.77
2021-02-26,1.702631241363118,11.04,52.77,0.16,-7.95
2021-02-27,1.1664903233595554,5.98,51.56,0.26,-0.83
